"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","FATALITIES"
"537","1999-11-21",1999,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"BBC Monitoring",6
"538","1999-11-23",1999,"Battle-No change of territory","Marakwet Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","West Pokot","Pokot South","Chepareria","Chepkok Hills",1.41667,35.25,"BBC Monitoring",0
"539","1999-11-23",1999,"Violence against civilians","Marakwet Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","West Pokot","Pokot South","Chepareria","Katilak",1.41667,35.25,"BBC Monitoring",0
"540","1999-11-25",1999,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Unidentified Armed Group (Kenya)","Kenya","Isiolo","Isiolo South","Kinna","Kinna",0.3167,38.2,"BBC Monitoring",0
"541","1999-11-25",1999,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Isiolo","Isiolo South","Kinna","Kinna",0.3167,38.2,"BBC Monitoring",0
"542","1999-12-01",1999,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Unidentified Armed Group (Somalia)","Kenya","Wajir","Wajir South","Diif","Dif",0.9961,40.9631,"BBC Monitoring",0
"543","1999-12-06",1999,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Makueni","Kibwezi West","Makindu","Makindu",-2.2833,37.8167,"BBC Monitoring",0
"544","1999-12-06",1999,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Makueni","Kibwezi West","Makindu","Makindu",-2.2833,37.8167,"BBC Monitoring",0
"545","1999-12-06",1999,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Makueni","Kibwezi West","Makindu","Makindu",-2.2833,37.8167,"BBC Monitoring",0
"546","1999-12-08",1999,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Laikipia","Laikipia North","Mugogodo East","Ngare Ndare",0.23333,37.35,"BBC Monitoring",0
